POI_ID,POI_Type,Name,Latitude,Longitude
1370722155,School,Bandaranayake Primary School,7.0203044,79.9234694
1376567688,School,Gateway International School,6.8918433,79.8608637
1376569757,School,St Nicholas International School,6.9158241,79.8709059
1378571809,School,Alethea International School,6.8584502,79.8658406
1396259018,School,Siddhartha college,5.9714561,80.4221419
1474113443,School,Kirimetiyana Buddist Girls Collage,7.3584342,79.8846832
1474850891,School,Joseph Vaz College,7.3389142,79.8424963
1477742949,School,Koswatta School,7.373702,79.8983071
1478533467,School,Dankotuwa Girls College,7.2924563,79.8782117
1478538586,School,Sanghabodhi Vidyalaya,7.3066792,79.8854322
1480054171,School,Dhammissara Primary School,7.410472,79.8577915
1480054175,School,Dammissara National School,7.4112541,79.8580517
1497149290,School,Army Pre School,6.0254725,80.2182872
1530607218,School,Louvre Int. School,6.856859,79.946069
1533913616,School,Unknown,6.8465091,79.8677567
1601578258,School,Panampitiya Maha Vidyalaya,7.7796626,80.6601086
1621585112,School,Bentota,6.4204936,80.0036071
1623940130,School,Ave Maria Convent Branch,7.1992536,79.8621987
1623940140,School,Maris Stella College Branch,7.1981119,79.865066
1650128141,School,"St. Thomas' College, Matara.",5.9487113,80.5438335
1650240695,School,A T I,6.7976656,79.8881097
1650280190,School,Unknown,5.9524024,80.5229667
1651231509,School,Buwanekaba Vidyala (Primary),6.8519965,79.9224078
1651231510,School,I E M,6.8483694,79.9244302
1651265545,School,OxFord,6.8654741,79.9115636
1651265548,School,St.Thomas College,6.8800909,79.8997064
1651294568,School,Royal Institute,6.8844234,79.8680072
1651300225,School,Rotary,6.8709411,79.8904519
1654309527,School,Lalith Athulathmudali College,6.8295595,79.8717788
1661966178,School,Louvre Int. School,6.8680634,79.8925781
1667080322,School,Holy Cross College,6.5759015,79.9639225
1667080369,School,Kalutara Vidyalaya,6.574235,79.9643737
1678267488,School,Yashodhara Kanishta Vidyalaya,6.9715062,79.9134322
1684401584,School,D S Senanayake National College,7.3027133,81.6728281
1684508037,School,Kawantissa Vidyalaya,7.2980309,81.6741907
1684508190,School,Sirimavo Bandaranike Balika Vidyalaya,7.3040169,81.6774844
1684508220,School,Tamil Vidyalaya,7.3023621,81.6705107
1684508354,School,Gamini Maha Vidyalaya,7.2866864,81.6757946
1694066040,School,Rotary Int. School,6.8647884,79.9006969
1706420776,School,J/Siruppiddy Saiva Vidya Salai,9.7325203,80.0964232
1712897670,School,Walhaputhenna Primary School,6.763143,80.8697635
1723337557,School,Southlands College,6.027654,80.2160328
1723588916,School,Bishop's College,6.9147139,79.8553433
1727331679,School,Zahira College,7.4771355,80.6268149
1727645694,School,Rattota Blika Vidyalaya,7.5162375,80.6758617
1728628587,School,Hindu College,7.4856667,80.6242399
1728791455,School,V/Vavuniya Tamil Maha Vidyalayam,8.7502763,80.4973099
1728839002,School,V/Nelukkulam Kalaimagal Maha Vidyalayam,8.758407,80.4571491
1730332545,School,J/Vaddukoddai Hindu College,9.7473333,79.9578817
1730332622,School,J/Subramaniya Vidyalayam,9.7435267,79.9493415
1730334147,School,J/Jaffna College,9.7296003,79.9483062
1730335218,School,J/Thirunavukarasu Maha Vidyalayam,9.7476928,79.9534185
1731400280,School,V/Vipulananda College,8.757129,80.4828339
1732697594,School,Maithripala Senanayake Central College,8.5363361,80.4949038
1732819422,School,Mahinda Maha Vidyalaya,8.356147,80.4214113
1733717400,School,Perakumba Maha Vidyalaya,7.2066021,80.2634238
1733767961,School,Babul Hassen Central College,7.2198645,80.2020495
1733768378,School,Senanayake Maha Vidyalaya,7.2625014,80.1616769
1733768618,School,Buddhist Vidyalaya,7.2236217,80.1993351
1736059667,School,Unknown,6.8446268,79.9771002
1744023361,School,President's Central College,6.4136004,81.3384199
1765123556,School,J/Avarangal Mahajana Vidyalayam,9.7618902,80.1171456
1765123557,School,J/Nadaraja Ramalinga Vidyalayam,9.7595319,80.1131534
1765123558,School,J/Puththakalady Sri Vishnu Vidyalayam,9.7528336,80.1170983
1765123559,School,J/Achchuveli Saraswathi Vidyasalai,9.7731298,80.1223198
1788271737,School,Dharmaraja Vidyalaya,6.8439807,80.0436651
1788297004,School,Meegoda Maha Vidyalaya,6.8522951,80.0468501
1792917007,School,Kahaduwa Navodya School,6.2206402,80.212891
1794014674,School,Dharmapala Adarsha Kanishta Vidyalaya,6.8304653,79.9615868
1794115714,School,Janajaya Vidyalaya,6.7671708,79.8858654
1794115780,School,Sri Sunandopananda Maha Vidyalaya,6.741579,79.8947381
1794115792,School,Our Lady of Victories Convent,6.7727642,79.8811018
1794159983,School,Princess Of Wales' College,6.7844301,79.884079
1794160058,School,Moratuwa Maha Vidyalaya,6.7783575,79.8848622
1794213634,School,Telecom Training Centre,6.7680711,79.8956876
1795233920,School,Bauddhaloka College,6.7097845,79.9191355
1795284371,School,Sri Parakrama Maha Vidyalaya,6.7202533,79.9553024
1795321924,School,Sri Sumangala Balika Vidyalaya,6.7020433,79.908058
1795501360,School,Sri Sumangala Vidyalaya,6.7098926,79.9145618
1795501383,School,Sri Seevali Maha Vidyalaya,6.6955594,79.9170487
1795501738,School,Royal College,6.7040466,79.9105417
1796612316,School,Mahawila Primary College,6.7073124,79.9347781
1796737865,School,Olaboduwa Maha Vidyalaya,6.7660438,80.0389533
1796819703,School,Siri Piyarathana College,6.8395546,80.0883829
1796819790,School,Siri Piyarathana Primary College,6.8406039,80.0917839
1796922964,School,Vidyaratanaya,6.7201397,80.0566461
1796923013,School,Govinna Maha Vidyalaya,6.6708856,80.1210575
1798397680,School,Unknown,7.2225532,80.1899116
1809677830,School,Nugawela Balika Vidyalaya,7.3268695,80.5866488
1809677842,School,Nugawela Central College,7.3264785,80.5848839
1812140593,School,MahaMaya Girls School,5.9431248,80.5529672
1812153835,School,Matara Technical College,5.9452323,80.5661138
1812176880,School,Kumbalgama,5.9478586,80.582445
1812231656,School,Yatiyana Primary School,6.0247398,80.6015109
1813426276,School,Leeds Int. School,5.9532969,80.550447
1813587333,School,Godauda Maha Vidyalaya,5.9579388,80.6477093
1813587480,School,Talalla Maha Vidyalaya,5.9488204,80.6278073
1814503074,School,Defence Service College,6.926897,79.8505675
1814540685,School,Zahira National School,6.1266246,81.1249494
